response,class
passaa,accept
sopii,accept
kyllä,accept
käy,accept
käypi,accept
Kyllä sopii,accept
tuo aika sopii minulle,accept
Juu sopii hyvin,accept
tulen silloin,accept
kyllä passaa,accept
Kyllä pääsen tuolloin,accept
kyllä pääsisin,accept
kyllä varmaankin sopii,accept
"Kyllä, sopii minulle.",accept
Sopii hyvin.,accept
"Ei ongelmaa, sopii minulle.",accept
Sopii minulle täydellisesti.,accept
Ilmoittaudun mielelläni.,accept
"Ei ole ongelmaa, olen mukana.",accept
"Joo, sopii minulle.",accept
"Olen mukana, kiitos kutsusta.",accept
Ilmoitan läsnäolostani.,accept
"Sopii minulle, kiitos kutsusta.",accept
Olen mukana tapaamisessa.,accept
"Sopii hyvin, ilmoittaudun mielelläni.",accept
"Ei ole ongelmaa, olen mukana tapaamisessa.",accept
"Sopii minulle täydellisesti, kiitos kutsusta.",accept
Olen iloinen voidessani osallistua.,accept
"Sopii hyvin, ilmoitan läsnäolostani.",accept
"Olen mukana tapaamisessa, kiitos mahdollisuudesta.",accept
"Ei ole ongelmaa, olen iloinen voidessani osallistua.",accept
"Sopii minulle, ilmoittaudun mielelläni.",accept
"Olen mukana tapaamisessa, ilmoitan osallistumisestani.",accept
"Sopii hyvin, olen iloinen voidessani osallistua.",accept
"Ei ole ongelmaa, ilmoittaudun mielelläni.",accept
"Olen mukana tapaamisessa, kiitos mahdollisuudesta.",accept
"Sopii minulle, ilmoitan osallistumisestani.",accept
"Ei ole ongelmaa, olen mukana tapaamisessa.",accept
"Sopii hyvin, ilmoittaudun mielelläni.",accept
"Kiitos kutsusta, sopii mainiosti.",accept
"Sopii hyvin, ilmoitan läsnäolostani.",accept
Hyväksyn ehdotetun ajan ja tulen mielelläni paikalle.,accept
"Olen mukana tapaamisessa, sopii loistavasti!",accept
"Kyllä passaa, ilmoittaudun mielelläni mukaan.",accept
"Sopii minulle, vahvistan osallistumiseni.",accept
"Kiitos kutsusta, ilmoitan mielelläni läsnäolostani sovittuun aikaan.",accept
"Tämä aika sopii hyvin, tulen paikalle.",accept
"Hyväksyn ehdotetun ajan, ilmoitan osallistumisestani.",accept
"Sopii minulle täydellisesti, ilmoittaudun läsnäolostani.",accept
"Kiitos, olen mukana tapaamisessa sovitussa ajassa.",accept
"Sopii loistavasti, kiitos kutsusta!",accept
"Kyllä, sopii mainiosti. Nähdään silloin!",accept
Vahvistan osallistumiseni sovittuun aikaan.,accept
"Sopii minulle, ilmoittaudun mukaan.",accept
"Tämä aika käy hyvin, olen iloinen voidessani osallistua.",accept
"Hyväksyn ehdotetun ajan, kiitos kutsusta.",accept
"Kiitos, ilmoitan läsnäolostani sovittuna aikana.",accept
"Sovittu aika käy mainiosti, ilmoittaudun mielelläni mukaan.",accept
"Kyllä, tulen mielelläni paikalle.",accept
"Hyväksyn ehdotetun ajan, olen mukana tapaamisessa.",accept
"Sopii täydellisesti, ilmoitan läsnäolostani.",accept
"Kiitos kutsusta, tulen tapaamiseen sovittuna ajankohtana.",accept
"Sopii hyvin, ilmoitan osallistumisestani.",accept
"Kyllä, vahvistan läsnäoloni sovitussa aikassa.",accept
Ilmoitan mielelläni osallistumisestani sovittuna ajankohtana.,accept
"Sopii loistavasti, olen mukana tapaamisessa.",accept
"Tämä aika käy hyvin, kiitos kutsusta.",accept
Hyväksyn ehdotetun ajan ja ilmoitan mielelläni osallistumisestani.,accept
"Sovittu aika sopii mainiosti, tulen mielelläni paikalle.",accept
"Ok, hyvä aika!",accept
Sopii loistavasti.,accept
Hyväksyn ajankohdan.,accept
"Täydellistä, olen paikalla.",accept
"Hyvä, voin olla paikalla silloin.",accept
"Mahtavaa, sopii mainiosti.",accept
Vahvistan osallistumiseni tähän ajankohtaan.,accept
"Selvä, tulen paikalle tuolloin.",accept
"Sopii täydellisesti, kiitos kutsusta.",accept
Tämä aika käy mainiosti.,accept
Olen iloinen!,accept
Tämä on mahtavaa!,accept
Kiitos!,accept
Aion olla paikalla!,accept
Loistavaa!,accept
Kuulostaa hyvältä!,accept
Aion olla siellä!,accept
Ymmärrän!,accept
Hyvä!,accept
Aion olla ajoissa!,accept
Aion olla paikalla ajoissa!,accept
Hyväksyn!,accept
Olen valmis!,accept
Ottaisin mielelläni vastaan!,accept
Ymmärrän ja hyväksyn!,accept
Aion olla ajoissa paikalla!,accept
Hyväksyn ja menen sinne!,accept
Minulla on varmaan aikaa!,accept
"Hyvä, menen sinne!",accept
Minulla ei ole mitään vastaan!,accept
vahvistan,accept
ei,decline
ei kyllä,decline
ei passaa,decline
ei sovi,decline
Ei käy tuolloin,decline
minulla on muita menoja,decline
Ei sovi,decline
Ei,decline
En pääse tuolloin,decline
en pääse,decline
Valitettavasti en voi osallistua.,decline
En pysty osallistumaan.,decline
En voi osallistua tuona päivänä.,decline
En pysty olemaan paikalla.,decline
En ole sopiva tapaamiseen.,decline
En ole tarpeeksi vapaa tuona päivänä.,decline
En pysty olemaan paikalla silloin.,decline
En ole saatavilla tuona päivänä.,decline
En pysty osallistumaan tapaamiseen.,decline
En ole tarpeeksi vapaa tapaamiseen.,decline
En pysty olemaan paikalla tapaamisessa.,decline
En ole sopiva tapaamiseen tuona päivänä.,decline
En pysty osallistumaan silloin.,decline
En ole saatavilla tapaamiseen.,decline
"En pysty olemaan paikalla silloin, valitettavasti.",decline
En ole tarpeeksi vapaa osallistuakseni.,decline
En ole sopiva tapaamiseen tuona ajankohtana.,decline
"En pysty osallistumaan silloin, kiitos ymmärryksestäsi.",decline
"En ole saatavilla tuona päivänä, valitettavasti.",decline
En ole tarpeeksi vapaa tapaamiseen silloin.,decline
En ole sopiva tapaamiseen tuona aikana.,decline
En pysty olemaan paikalla tuona päivänä.,decline
En ole saatavilla tapaamiseen tuona päivänä.,decline
"En pysty osallistumaan silloin, kiitos ymmärryksestäsi.",decline
"En ole tarpeeksi vapaa tuona päivänä, valitettavasti.",decline
En ole sopiva tapaamiseen silloin.,decline
En pysty olemaan paikalla tapaamisessa silloin.,decline
En ole tarpeeksi vapaa tapaamiseen tuona aikana.,decline
"En ole sopiva tapaamiseen silloin, kiitos ymmärryksestäsi.",decline
"En pysty olemaan paikalla silloin, valitettavasti.",decline
En ole saatavilla tuona ajankohtana.,decline
En pysty osallistumaan tapaamiseen silloin.,decline
"En ole tarpeeksi vapaa tuona päivänä, kiitos ymmärryksestäsi.",decline
"En ole sopiva tapaamiseen tuona ajankohtana, valitettavasti.",decline
"En pysty olemaan paikalla silloin, kiitos ymmärryksestäsi.",decline
En ole saatavilla tapaamiseen silloin.,decline
"En pysty osallistumaan tuona päivänä, valitettavasti.",decline
Valitettavasti minun täytyy kieltäytyä kutsusta.,decline
"Olen pahoillani, mutta en voi osallistua tähän tilaisuuteen.",decline
"En pääse paikalle, sillä minulla on jo varattuna toinen tapaaminen.",decline
En valitettavasti ole vapaana tänä päivänä.,decline
Minulla on liian kiireinen aikataulu tapaamiseen osallistuakseni.,decline
Tämä ajankohta ei valitettavasti sovi minulle.,decline
En voi sitoutua tähän tapaamiseen juuri nyt.,decline
"Minulla on muita velvollisuuksia, jotka estävät minua tulemasta.",decline
"Pahoittelen, mutta minun täytyy perua tapaaminen.",decline
Valitettavasti en ole käytettävissä tähän aikaan.,decline
"En pysty osallistumaan, sillä minulla on toinen tapaaminen samana päivänä.",decline
"Olen pahoillani, mutta minun täytyy kieltäytyä kutsumuksesta.",decline
En ole saatavilla tapaamiseen tuona päivänä.,decline
Valitettavasti minun täytyy peruuttaa osallistumiseni.,decline
En ole vapaana tähän aikaan.,decline
Tämä ajankohta ei ole minulle sopiva.,decline
"Pahoittelen, mutta minun täytyy kieltäytyä.",decline
En pysty osallistumaan tähän tapaamiseen.,decline
Valitettavasti minulla on jo varattuna toinen tapaaminen tälle päivälle.,decline
En ole saatavilla tähän aikaan.,decline
Tämä tapaaminen ei sovi minulle.,decline
"Olen pahoillani, mutta minun täytyy kieltäytyä kutsumuksesta.",decline
En voi osallistua tähän tilaisuuteen.,decline
Valitettavasti tämä ajankohta ei ole minulle sopiva.,decline
En ole käytettävissä tapaamiseen tällä hetkellä.,decline
"Pahoittelen, mutta minun täytyy perua tapaaminen.",decline
Tämä aika ei ole minulle sopiva.,decline
En ole saatavilla tähän tapaamiseen.,decline
Valitettavasti en voi osallistua tähän tilaisuuteen.,decline
En pysty sitoutumaan tähän tapaamiseen juuri nyt.,decline
"Tämä päivä ei sovi minulle, joten joudun kieltäytymään kutsusta.",decline
"Anteeksi, mutta minulla on jo suunnitelmia kyseisenä ajankohtana.",decline
En ole valitettavasti käytettävissä silloin.,decline
"Valitettavasti en voi osallistua, sillä minulla on toinen tapaaminen.",decline
"Kiitos kutsusta, mutta en voi osallistua tähän tapahtumaan.",decline
"Pahoittelen, mutta minun täytyy kieltäytyä kutsusta.",decline
"En voi olla paikalla, koska olen matkoilla tuolloin.",decline
En valitettavasti pysty osallistumaan tähän tilaisuuteen.,decline
En ole käytettävissä kyseisenä ajankohtana.,decline
ei kiitos,decline
kiitos ei,decline
ei käy,decline
"kiitos kutsusta, ei kuitenkaan käy",decline
"Olen pahoillani, mutta minun täytyy kieltäytyä kutsusta terveydellisistä syistä.",decline
En ole kiinnostunut,decline
En ole saatavilla,decline
En halua,decline
Ei sopiva,decline
En tarvitse hammastarkastusta,decline
Ei tällä hetkellä sovi,decline
En löydä aikaa,decline
En ole varma,decline
En ole kiinnostunut tästä,decline
En ole kiinnostunut osallistumaan,decline
En ole varma tästä,decline
En ole kiinnostunut tästä aiheesta,decline
Olen liian kiireinen,decline
"Joo, ei tää aika kyllä sovi",decline
"Ei sovi, miten olisi ensi viikolla",suggestion
onko 31.12 vapaita aikoja?,suggestion
Milloin muulloin olisi vapaita aikoja?,suggestion
"En pääse tuolloin, mitenkäs maanantaina?",suggestion
Olisiko edeltävänä päivänä vapaita aikoja?,suggestion
Valitettavasti en voi osallistua 13.2.2023.,suggestion
Voinko ehdotaa toista ajankohtaa?,suggestion
"En voi osallistua tuona päivänä, voisimmeko sopia toisesta ajankohdasta?",suggestion
"En pysty olemaan paikalla 13.2.2023, voisimmeko sopia toisesta ajankohdasta?",suggestion
"En ole sopiva tapaamiseen 13.2.2023, voisimmeko sopia toisesta ajankohdasta?",suggestion
"En pysty olemaan paikalla silloin, voisimmeko sopia toisesta ajankohdasta?",suggestion
"En ole saatavilla tuona päivänä, voisimmeko sopia toisesta ajankohdasta?",suggestion
"En pysty osallistumaan silloin, voisimmeko sopia toisesta ajankohdasta?",suggestion
"En ole tarpeeksi vapaa tuona päivänä, voisimmeko sopia toisesta ajankohdasta?",suggestion
"En ole sopiva tapaamiseen tuona ajankohtana, voisimmeko sopia toisesta ajankohdasta?",suggestion
"En pysty olemaan paikalla tuona päivänä, voisimmeko sopia toisesta ajankohdasta?",suggestion
"En ole saatavilla tapaamiseen tuona päivänä, voisimmeko sopia toisesta ajankohdasta?",suggestion
"En pysty osallistumaan silloin, voisimmeko sopia toisesta ajankohdasta?",suggestion
"En ole tarpeeksi vapaa tuona päivänä, voisimmeko sopia toisesta ajankohdasta?",suggestion
"En ole sopiva tapaamiseen silloin, voisimmeko sopia toisesta ajankohdasta?",suggestion
"En pysty olemaan paikalla tapaamisessa silloin, voisimmeko sopia toisesta ajankohdasta?",suggestion
"En ole tarpeeksi vapaa tapaamiseen tuona aikana, voisimmeko sopia toisesta ajankohdasta?",suggestion
"En ole sopiva tapaamiseen silloin, voisimmeko sopia toisesta ajankohdasta?",suggestion
"En pysty olemaan paikalla silloin, voisimmeko sopia toisesta ajankohdasta?",suggestion
"En ole saatavilla tuona ajankohtana, voisimmeko sopia toisesta ajankohdasta?",suggestion
"En pysty osallistumaan tapaamiseen silloin, voisimmeko sopia toisesta ajankohdasta?",suggestion
"En ole tarpeeksi vapaa tuona päivänä, voisimmeko sopia toisesta ajankohdasta?",suggestion
"Ei sovi, mutta kuinka olisi torstai?",suggestion
Onko sinulle sopiva torstai kello 14?,suggestion
"Valitettavasti en voi osallistua, mutta voisimmeko siirtää tapaamisen ensi viikolle?",suggestion
Voisimmeko sopia toisen ajankohdan tapaamiselle?,suggestion
Milloin muulloin sinulle sopisi?,suggestion
Mikä olisi sinulle paras ajankohta?,suggestion
"En pääse tuolloin, mutta mitenkäs keskiviikko?",suggestion
Olisiko seuraava viikko parempi?,suggestion
Voisimmeko sopia tapaamisen ensi kuulle?,suggestion
Onko sinulle sopiva lauantai?,suggestion
Milloin sinulle sopisi?,suggestion
"Valitettavasti en voi osallistua 13.2.2023, mutta voisimmeko sopia tapaamisen toiselle päivälle?",suggestion
Olisiko jokin toinen päivä sinulle sopiva?,suggestion
Voinko ehdottaa toista ajankohtaa?,suggestion
Mihin aikaan sinulle sopisi paremmin?,suggestion
Onko sinulla vapaa päivä ensi viikolla?,suggestion
Mikä ajankohta sopisi sinulle parhaiten?,suggestion
"En voi silloin, mutta voisimmeko sopia tapaamisen myöhemmin?",suggestion
Voisimmeko löytää paremman ajankohdan?,suggestion
Onko sinulle sopiva perjantai?,suggestion
Olisiko aamu vai iltapäivä sinulle parempi?,suggestion
"Valitettavasti en pääse, mutta voisimmeko sopia toisen ajan?",suggestion
Mihin aikaan olisi sinulle paras aika?,suggestion
Voisimmeko siirtää tapaamisen seuraavalle viikolle?,suggestion
Olisiko jokin toinen päivä sinulle sopiva?,suggestion
Onko sinulle sopiva sunnuntai?,suggestion
Milloin sinulla olisi seuraava vapaa hetki?,suggestion
"Valitettavasti en voi osallistua, mutta voisimmeko löytää uuden ajankohdan?",suggestion
Olisiko sinulle parempi aika ensi viikolla?,suggestion
"Voisimmeko sopia toisen ajan, joka sopii meille molemmille?",suggestion
Onko sinulle parempi aamu vai iltapäivä?,suggestion
Onko sinulla vapaita aikoja seuraavalle viikolle?,suggestion
Mihin aikaan sinulle sopisi parhaiten?,suggestion
"Valitettavasti en pääse, mutta voisimmeko siirtää tapaamisen huomiselle?",suggestion
Olisiko seuraava kuukausi parempi ajankohta?,suggestion
Onko sinulle sopiva maanantai?,suggestion
Milloin sinulla olisi vapaa hetki tapaamiselle?,suggestion
"Valitettavasti en voi osallistua, mutta voisimmeko sopia toisen ajan huomiselle",suggestion
"Pahoittelen, en pääse silloin. Onko mahdollista järjestää tapaaminen toisena päivänä?",suggestion
Valitettavasti tuo päivä ei sovi. Miten olisi vaikka seuraava viikko? Onko silloin vapaita aikoja?,suggestion
Voinko vaihtaa toiseen toimipisteeseen?,suggestion
Voinko tulla seuraavan kerran eri hammaslääkärille?,suggestion
Voinko tulla aikaisemmin?,suggestion
Voinko tulla myöhemmin?,suggestion
Onko mahdollista vaihtaa toiseen päivään?,suggestion
Olisiko mahdollista saada aika aikaisemmin?,suggestion
Olisiko mahdollista saada aika myöhemmin?,suggestion
Voiko aikaa siirtää myöhemmäksi?,suggestion
Voiko aikaa siirtää aikaisemmaksi?,suggestion
Voiko aikaa siirtää toiselle viikolle?,suggestion
Onko ilta-aikoja?,suggestion
Onko aikoja ensi viikonloppuna?,suggestion
Onko aikoja viikonloppuisin?,suggestion
Voitko muuttaa ajan toiseen toimipisteeseen?,suggestion
Olisiko mahdollista saada aika toiseen toimipisteeseen?,suggestion
Olisiko mahdollista vaihtaa aika toiselle hammaslääkärille?,suggestion
Olisiko mahdollista tulla seuraavana viikonloppuna?,suggestion
Olisiko mahdollista vaihtaa ajankohtaa sopimaan minulle paremmin?,suggestion
Olisiko mahdollista saada aika toiseen viikkoon?,suggestion
Voitko muuttaa ajan toiseen toimipisteeseen?,suggestion
Onko mahdollista vaihtaa toiseen aikaan?,suggestion